Country,SP.POP.TOTL
Africa Eastern and Southern,677243299.0
Africa Western and Central,458803476.0
Arab World,436080728.0
Caribbean small states,7442291.0
Central Europe and the Baltics,102253057.0
Early-demographic dividend,3332105361.0
East Asia & Pacific,2360855079.0
East Asia & Pacific (excluding high income),2113820753.0
East Asia & Pacific (IDA & IBRD countries),2088015667.0
Euro area,342949773.0
Europe & Central Asia,923452178.0
Europe & Central Asia (excluding high income),420211696.0
Europe & Central Asia (IDA & IBRD countries),462209698.0
European Union,447801418.0
Fragile and conflict affected situations,929989551.0
Heavily indebted poor countries (HIPC),823480038.0
High income,1214930230.0
IBRD only,4862388283.0
IDA & IBRD total,6570991956.0
IDA blend,574159138.0
IDA only,1134444535.0
IDA total,1708603673.0
Late-demographic dividend,2316679176.0
Latin America & Caribbean,652276325.0
Latin America & Caribbean (excluding high income),595242966.0
Latin America & the Caribbean (IDA & IBRD countries),636492840.0
Least developed countries: UN classification,1057438163.0
Low & middle income,6518253973.0
Low income,665149035.0
Lower middle income,3330652547.0
Middle East & North Africa,464554123.0
Middle East & North Africa (excluding high income),396147843.0
Middle East & North Africa (IDA & IBRD countries),391344574.0
Middle income,5853104938.0
North America,367553264.0
Not classified,
OECD members,1370858752.0
Other small states,31941374.0
Pacific island small states,2528958.0
Post-demographic dividend,1115104266.0
Pre-demographic dividend,970795671.0
Small states,41912623.0
South Asia,1856882402.0
South Asia (IDA & IBRD),1856882402.0
Sub-Saharan Africa,1136046775.0
Sub-Saharan Africa (excluding high income),1135948313.0
Sub-Saharan Africa (IDA & IBRD countries),1136046775.0
Upper middle income,2522452391.0
World,7761620146.0
Afghanistan,38928341.0
Albania,2837743.0
Algeria,43851043.0
American Samoa,55197.0
Andorra,77265.0
Angola,32866268.0
Antigua and Barbuda,97928.0
Argentina,45376763.0
Armenia,2963234.0
Aruba,106766.0
Australia,25687041.0
Austria,8917205.0
Azerbaijan,10093121.0
"Bahamas, The",393248.0
Bahrain,1701583.0
Bangladesh,164689383.0
Barbados,287371.0
Belarus,9379952.0
Belgium,11555997.0
Belize,397621.0
Benin,12123198.0
Bermuda,63903.0
Bhutan,771612.0
Bolivia,11673029.0
Bosnia and Herzegovina,3280815.0
Botswana,2351625.0
Brazil,212559409.0
British Virgin Islands,30237.0
Brunei Darussalam,437483.0
Bulgaria,6934015.0
Burkina Faso,20903278.0
Burundi,11890781.0
Cabo Verde,555988.0
Cambodia,16718971.0
Cameroon,26545864.0
Canada,38005238.0
Cayman Islands,65720.0
Central African Republic,4829764.0
Chad,16425859.0
Channel Islands,173859.0
Chile,19116209.0
China,1410929362.0
Colombia,50882884.0
Comoros,869595.0
"Congo, Dem. Rep.",89561404.0
"Congo, Rep.",5518092.0
Costa Rica,5094114.0
Cote d'Ivoire,26378275.0
Croatia,4047200.0
Cuba,11326616.0
Curacao,155014.0
Cyprus,1207361.0
Czech Republic,10698896.0
Denmark,5831404.0
Djibouti,988002.0
Dominica,71991.0
Dominican Republic,10847904.0
Ecuador,17643060.0
"Egypt, Arab Rep.",102334403.0
El Salvador,6486201.0
Equatorial Guinea,1402985.0
Eritrea,
Estonia,1331057.0
Eswatini,1160164.0
Ethiopia,114963583.0
Faroe Islands,48865.0
Fiji,896444.0
Finland,5530719.0
France,67391582.0
French Polynesia,280904.0
Gabon,2225728.0
"Gambia, The",2416664.0
Georgia,3714000.0
Germany,83240525.0
Ghana,31072945.0
Gibraltar,33691.0
Greece,10715549.0
Greenland,56367.0
Grenada,112519.0
Guam,168783.0
Guatemala,16858333.0
Guinea,13132792.0
Guinea-Bissau,1967998.0
Guyana,786559.0
Haiti,11402533.0
Honduras,9904608.0
"Hong Kong SAR, China",7481800.0
Hungary,9749763.0
Iceland,366425.0
India,1380004385.0
Indonesia,273523621.0
"Iran, Islamic Rep.",83992953.0
Iraq,40222503.0
Ireland,4994724.0
Isle of Man,85032.0
Israel,9216900.0
Italy,59554023.0
Jamaica,2961161.0
Japan,125836021.0
Jordan,10203140.0
Kazakhstan,18754440.0
Kenya,53771300.0
Kiribati,119446.0
"Korea, Dem. People's Rep.",25778815.0
"Korea, Rep.",51780579.0
Kosovo,1775378.0
Kuwait,4270563.0
Kyrgyz Republic,6591600.0
Lao PDR,7275556.0
Latvia,1901548.0
Lebanon,6825442.0
Lesotho,2142252.0
Liberia,5057677.0
Libya,6871287.0
Liechtenstein,38137.0
Lithuania,2794700.0
Luxembourg,632275.0
"Macao SAR, China",649342.0
Madagascar,27691019.0
Malawi,19129955.0
Malaysia,32365998.0
Maldives,540542.0
Mali,20250834.0
Malta,525285.0
Marshall Islands,59194.0
Mauritania,4649660.0
Mauritius,1265740.0
Mexico,128932753.0
"Micronesia, Fed. Sts.",115021.0
Moldova,2620495.0
Monaco,39244.0
Mongolia,3278292.0
Montenegro,621306.0
Morocco,36910558.0
Mozambique,31255435.0
Myanmar,54409794.0
Namibia,2540916.0
Nauru,10834.0
Nepal,29136808.0
Netherlands,17441139.0
New Caledonia,271960.0
New Zealand,5084300.0
Nicaragua,6624554.0
Niger,24206636.0
Nigeria,206139587.0
North Macedonia,2072531.0
Northern Mariana Islands,57557.0
Norway,5379475.0
Oman,5106622.0
Pakistan,220892331.0
Palau,18092.0
Panama,4314768.0
Papua New Guinea,8947027.0
Paraguay,7132530.0
Peru,32971846.0
Philippines,109581085.0
Poland,37950802.0
Portugal,10305564.0
Puerto Rico,3194034.0
Qatar,2881060.0
Romania,19286123.0
Russian Federation,144104080.0
Rwanda,12952209.0
Samoa,198410.0
San Marino,33938.0
Sao Tome and Principe,219161.0
Saudi Arabia,34813867.0
Senegal,16743930.0
Serbia,6908224.0
Seychelles,98462.0
Sierra Leone,7976985.0
Singapore,5685807.0
Sint Maarten (Dutch part),40812.0
Slovak Republic,5458827.0
Slovenia,2100126.0
Solomon Islands,686878.0
Somalia,15893219.0
South Africa,59308690.0
South Sudan,11193729.0
Spain,47351567.0
Sri Lanka,21919000.0
St. Kitts and Nevis,53192.0
St. Lucia,183629.0
St. Martin (French part),38659.0
St. Vincent and the Grenadines,110947.0
Sudan,43849269.0
Suriname,586634.0
Sweden,10353442.0
Switzerland,8636896.0
Syrian Arab Republic,17500657.0
Tajikistan,9537642.0
Tanzania,59734213.0
Thailand,69799978.0
Timor-Leste,1318442.0
Togo,8278737.0
Tonga,105697.0
Trinidad and Tobago,1399491.0
Tunisia,11818618.0
Turkey,84339067.0
Turkmenistan,6031187.0
Turks and Caicos Islands,38718.0
Tuvalu,11792.0
Uganda,45741000.0
Ukraine,44134693.0
United Arab Emirates,9890400.0
United Kingdom,67215293.0
United States,329484123.0
Uruguay,3473727.0
Uzbekistan,34232050.0
Vanuatu,307150.0
"Venezuela, RB",28435943.0
Vietnam,97338583.0
Virgin Islands (U.S.),106290.0
West Bank and Gaza,4803269.0
"Yemen, Rep.",29825968.0
Zambia,18383956.0
Zimbabwe,14862927.0
